type_crypto,date,close_orig,close_pred_ARIMA
eth,2021-03-31,1915.294767,1844.8028788663441
eth,2021-04-01,1971.372782,1911.7623126570363
eth,2021-04-02,2133.90001,1969.849298898382
eth,2021-04-03,2022.747978,2124.560447353355
eth,2021-04-04,2082.75,2034.7713730328217
eth,2021-04-05,2108.653789,2078.156038084201
eth,2021-04-06,2122.406133,2109.2293234971103
eth,2021-04-07,1985.808114,2123.3358220872487
eth,2021-04-08,2083.36,1997.3032503717134
eth,2021-04-09,2074.94,2075.6479521452593
eth,2021-04-10,2142.175399,2078.5533107214387
eth,2021-04-11,2153.530662,2138.711578823092
eth,2021-04-12,2146.72,2155.3015844272727
eth,2021-04-13,2304.28,2148.9213035330463
eth,2021-04-14,2422.634114,2294.441233282687
eth,2021-04-15,2518.66,2418.3038636781284
eth,2021-04-16,2432.94433,2515.4072810755806
eth,2021-04-17,2331.75,2442.4095990552664
eth,2021-04-18,2231.021922,2339.399871462693
eth,2021-04-19,2167.436456,2238.311089140858
eth,2021-04-20,2330.63,2171.993876394623
eth,2021-04-21,2368.14,2319.5063455394024
eth,2021-04-22,2415.177091,2369.6889217218895
eth,2021-04-23,2364.282567,2414.103767664375
eth,2021-04-24,2358.089308,2370.396123604916
eth,2021-04-25,2308.101085,2359.4289231201797
eth,2021-04-26,2532.483306,2313.265789508484
eth,2021-04-27,2647.247267,2517.306357192588
eth,2021-04-28,2750.461037,2644.3905020332563
eth,2021-04-29,2765.425747,2746.8034474491055
eth,2021-04-30,2773.6023,2767.978256450947
eth,2021-05-01,2953.032414,2775.266973318996
eth,2021-05-02,2957.5,2942.353593961092
eth,2021-05-03,3440.551612,2962.1584254202394
eth,2021-05-04,3242.717709,3408.2561715771635
eth,2021-05-05,3527.6,3266.9923354031207
